,ROUTE,(delay_count / count),delay_count,count
511,"Row(_1=u'PSP', _2=u'SFO')",0.330343796712,442,1338
512,"Row(_1=u'OKC', _2=u'LAX')",0.330316742081,73,221
513,"Row(_1=u'RNO', _2=u'SFO')",0.330287206266,253,766
514,"Row(_1=u'BOS', _2=u'PBI')",0.330223880597,354,1072
515,"Row(_1=u'JFK', _2=u'SAN')",0.330061349693,269,815
516,"Row(_1=u'ORD', _2=u'DEN')",0.329972857697,851,2579
517,"Row(_1=u'ORF', _2=u'EWR')",0.32970027248,121,367
518,"Row(_1=u'AUS', _2=u'BOS')",0.329411764706,84,255
519,"Row(_1=u'AUS', _2=u'OAK')",0.329411764706,56,170
520,"Row(_1=u'TTN', _2=u'DTW')",0.329411764706,28,85
521,"Row(_1=u'SFO', _2=u'STL')",0.329383886256,139,422
522,"Row(_1=u'LAS', _2=u'BOS')",0.329268292683,135,410
523,"Row(_1=u'SFO', _2=u'BOI')",0.32925170068,242,735
524,"Row(_1=u'MDW', _2=u'LAX')",0.329227323628,294,893
525,"Row(_1=u'RIC', _2=u'MSP')",0.329192546584,53,161
526,"Row(_1=u'STC', _2=u'ORD')",0.329113924051,26,79
527,"Row(_1=u'LAX', _2=u'OAK')",0.329045362221,972,2954
528,"Row(_1=u'OMA', _2=u'EWR')",0.328990228013,101,307
529,"Row(_1=u'EWR', _2=u'PBI')",0.328978622328,554,1684
530,"Row(_1=u'EWR', _2=u'BWI')",0.328947368421,50,152
531,"Row(_1=u'SAN', _2=u'SFO')",0.328667249927,1127,3429
532,"Row(_1=u'LGB', _2=u'SFO')",0.328545780969,183,557
533,"Row(_1=u'PNS', _2=u'ORD')",0.328358208955,22,67
534,"Row(_1=u'BOS', _2=u'SJC')",0.328125,21,64
535,"Row(_1=u'DEN', _2=u'LIH')",0.327586206897,19,58
536,"Row(_1=u'ORF', _2=u'IAH')",0.327380952381,55,168
537,"Row(_1=u'SAF', _2=u'LAX')",0.327272727273,18,55
538,"Row(_1=u'DFW', _2=u'CMI')",0.327102803738,35,107
539,"Row(_1=u'PIT', _2=u'LGA')",0.326923076923,34,104
540,"Row(_1=u'MDT', _2=u'MCO')",0.326923076923,17,52
